Index,Audio Path,Transcript Path
001,CenturyLink Inc_20171108/CEO/001-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/001.txt
002,CenturyLink Inc_20171108/CEO/002-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/002.txt
003,CenturyLink Inc_20171108/CEO/003-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/003.txt
004,CenturyLink Inc_20171108/CEO/004-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/004.txt
005,CenturyLink Inc_20171108/CEO/005-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/005.txt
006,CenturyLink Inc_20171108/CEO/006-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/006.txt
007,CenturyLink Inc_20171108/CEO/007-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/007.txt
008,CenturyLink Inc_20171108/CEO/008-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/008.txt
009,CenturyLink Inc_20171108/CEO/009-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/009.txt
010,CenturyLink Inc_20171108/CEO/010-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/010.txt
011,CenturyLink Inc_20171108/CEO/011-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/011.txt
012,CenturyLink Inc_20171108/CEO/012-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/012.txt
013,CenturyLink Inc_20171108/CEO/013-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/013.txt
014,CenturyLink Inc_20171108/CEO/014-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/014.txt
015,CenturyLink Inc_20171108/CEO/015-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/015.txt
016,CenturyLink Inc_20171108/CEO/016-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/016.txt
017,CenturyLink Inc_20171108/CEO/017-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/017.txt
018,CenturyLink Inc_20171108/CEO/018-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/018.txt
019,CenturyLink Inc_20171108/CEO/019-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/019.txt
020,CenturyLink Inc_20171108/CEO/020-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/020.txt
021,CenturyLink Inc_20171108/CEO/021-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/021.txt
022,CenturyLink Inc_20171108/CEO/022-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/022.txt
023,CenturyLink Inc_20171108/CEO/023-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/023.txt
024,CenturyLink Inc_20171108/CEO/024-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/024.txt
025,CenturyLink Inc_20171108/CEO/025-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/025.txt
026,CenturyLink Inc_20171108/CEO/026-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/026.txt
027,CenturyLink Inc_20171108/CEO/027-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/027.txt
028,CenturyLink Inc_20171108/CEO/028-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/028.txt
029,CenturyLink Inc_20171108/CEO/029-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/029.txt
030,CenturyLink Inc_20171108/CEO/030-JeffStorey.mp3,CenturyLink Inc_20171108/sent_token/030.txt
