Index,Audio Path,Transcript Path
001,Quest Diagnostics_20170725/CEO/001-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/001.txt
002,Quest Diagnostics_20170725/CEO/002-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/002.txt
003,Quest Diagnostics_20170725/CEO/003-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/003.txt
004,Quest Diagnostics_20170725/CEO/004-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/004.txt
005,Quest Diagnostics_20170725/CEO/005-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/005.txt
006,Quest Diagnostics_20170725/CEO/006-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/006.txt
007,Quest Diagnostics_20170725/CEO/007-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/007.txt
008,Quest Diagnostics_20170725/CEO/008-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/008.txt
009,Quest Diagnostics_20170725/CEO/009-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/009.txt
010,Quest Diagnostics_20170725/CEO/010-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/010.txt
011,Quest Diagnostics_20170725/CEO/011-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/011.txt
012,Quest Diagnostics_20170725/CEO/012-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/012.txt
013,Quest Diagnostics_20170725/CEO/013-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/013.txt
014,Quest Diagnostics_20170725/CEO/014-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/014.txt
015,Quest Diagnostics_20170725/CEO/015-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/015.txt
016,Quest Diagnostics_20170725/CEO/016-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/016.txt
017,Quest Diagnostics_20170725/CEO/017-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/017.txt
018,Quest Diagnostics_20170725/CEO/018-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/018.txt
019,Quest Diagnostics_20170725/CEO/019-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/019.txt
020,Quest Diagnostics_20170725/CEO/020-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/020.txt
021,Quest Diagnostics_20170725/CEO/021-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/021.txt
022,Quest Diagnostics_20170725/CEO/022-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/022.txt
023,Quest Diagnostics_20170725/CEO/023-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/023.txt
024,Quest Diagnostics_20170725/CEO/024-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/024.txt
025,Quest Diagnostics_20170725/CEO/025-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/025.txt
026,Quest Diagnostics_20170725/CEO/026-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/026.txt
027,Quest Diagnostics_20170725/CEO/027-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/027.txt
028,Quest Diagnostics_20170725/CEO/028-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/028.txt
029,Quest Diagnostics_20170725/CEO/029-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/029.txt
030,Quest Diagnostics_20170725/CEO/030-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/030.txt
031,Quest Diagnostics_20170725/CEO/031-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/031.txt
032,Quest Diagnostics_20170725/CEO/032-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/032.txt
033,Quest Diagnostics_20170725/CEO/033-StephenH.Rusckowski.mp3,Quest Diagnostics_20170725/sent_token/033.txt
