topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
additional day,1,1,1,1
adjusted employee,1,1,1,1
adjusted marketing,1,1,1,1
adjusted property,1,1,1,1
foreign exchange,1,1,1,1
incremental margin,1,1,1,1
incremental margins,1,1,1,1
institutional side,1,1,1,1
key points,1,1,1,1
large technology,1,1,1,1
net flow,1,1,1,1
net revenue,1,1,1,1
net revenues,1,1,1,1
ongoing theme,1,1,1,1
outsourced administration,1,1,1,1
overall story,1,1,1,1
positive impact,1,1,1,1
positive trend,1,1,1,1
private equity,1,1,1,1
strong capabilities,1,1,1,1
