topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted basis,1,1,1,1
best approach,1,1,1,1
best filtration,1,1,1,1
better experience,1,1,1,1
bigger area,1,1,1,1
cultural fit,1,1,1,1
financial objectives,1,1,1,1
good number,1,1,1,1
hard work,1,1,1,1
high level,1,1,1,1
improved safety,1,1,1,1
much board,1,1,1,1
new capability,1,1,1,1
new guidance,1,1,1,1
operational performance,1,1,1,1
organic growth,1,1,1,1
organic sales,1,1,1,1
overall segment,1,1,1,1
steady progress,1,1,1,1
strong leadership,1,1,1,1
top quartile,1,1,1,1
whole revenue,1,1,1,1
