topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
cloud revenue,1,2,2,2
commercial business,1,1,1,1
commercial cloud,1,1,1,1
commercial revenue,1,1,1,1
gross margin,1,2,2,2
healthy renewals,1,1,1,1
higher margin,0,1,1,1
intelligent cloud,1,1,1,1
large markets,1,1,1,1
largest geos,1,1,1,1
lower volume,1,1,1,1
macroeconomic trends,1,1,1,1
negative impact,1,1,1,1
new console,0,1,1,1
new investment,0,1,1,1
nice transition,1,1,1,1
positive signals,1,1,1,1
pure basis,1,1,1,1
quarterly amortization,0,1,1,1
strategic areas,0,1,1,1
strong sales,1,1,1,1
technical resources,1,1,1,1
total company,0,1,1,1
total revenue,1,1,1,1
transactional decline,1,1,1,1
unearned guidance,1,1,1,1
