topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
advanced analytics,0,1,1,1
digital commerce,0,1,1,1
digital scale,0,1,1,1
entire practice,1,1,1,1
future growth,1,1,1,1
large enterprise,1,1,1,1
larger scale,1,1,1,1
new experiences,0,1,1,1
overall performance,1,1,1,1
regional banks,1,1,1,1
repeatable industry,0,1,1,1
right content,0,1,1,1
right person,0,1,1,1
right time,0,1,1,1
service line,1,1,1,1
specific solutions,0,1,1,1
strong demand,1,1,1,1
strong growth,1,1,1,1
strong performance,1,1,1,1
traditional phone,0,1,1,1
