topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
best way,1,1,1,1
big companies,0,1,1,1
bigger spikes,0,1,1,1
continuous improvement,1,1,1,1
free cash,1,1,1,1
gaming revenue,1,1,1,1
gaming side,1,1,1,1
good outcome,0,1,1,1
good point,1,1,1,1
good question,1,1,1,1
long term,1,1,1,1
lower revenue,1,1,1,1
near term,1,1,1,1
professional sports,1,1,1,1
strong convention,0,1,1,1
stronger foundation,0,1,1,1
tremendous amount,1,1,1,1
