topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral
Outlier,1,1,1
accretive acquisitions,1,1,1
additional savings,1,1,1
advanced diagnostics,1,1,1
basic healthcare,1,1,1
better health,1,1,1
broader presence,1,1,1
current schedule,1,1,1
diagnostic information,1,1,1
different strategy,1,1,1
equivalent basis,1,1,1
excess tax,1,1,1
good provider,1,1,1
great day,1,1,1
increased levels,1,1,1
introductory remarks,1,1,1
joint venture,1,1,1
key part,1,1,1
largest laboratory,1,1,1
operational efficiency,1,1,1
operational excellence,1,1,1
patient service,1,1,1
right integration,1,1,1
significant progress,1,1,1
specific question,1,1,1
stronger presence,1,1,1
tentative rates,1,1,1
