topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
adjusted profit,1,1,1,1
favorable dealer,1,1,1,1
favorable mix,1,1,1,1
favorable price,1,1,1,1
flexible cost,1,1,1,0
future growth,1,1,1,0
higher aftermarket,1,1,1,1
higher sales,1,1,1,1
lean principles,1,1,1,0
long time,1,1,1,0
new equipment,1,1,1,1
primary drivers,1,1,1,1
revised outlook,1,1,1,1
significant restructuring,1,1,1,0
strong balance,1,1,1,0
strong demand,1,1,1,1
