topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
amazing innovation,1,1,1,1
best device,1,1,1,0
best masks,1,1,1,1
cardiovascular outcomes,1,1,1,1
central sleep,1,1,1,1
chronic disease,1,1,1,1
connected care,1,1,1,1
digital health,1,1,1,1
financial results,1,1,1,1
fit range,1,1,1,0
full face,1,1,1,0
huge opportunity,1,1,1,1
invasive ventilators,1,1,1,0
long term,1,1,1,1
long time,1,1,1,1
nasal category,1,1,1,0
new mask,1,1,1,1
new news,1,1,1,1
new range,1,1,1,0
ongoing upgrades,1,1,1,1
overall category,1,1,1,1
patient adherence,1,1,1,1
patient engagement,1,1,1,1
positive feedback,1,1,1,0
primary endpoint,1,1,1,1
primary investigators,1,1,1,1
regional highlights,1,1,1,1
regular basis,1,1,1,1
sick care,1,1,1,1
significant improvement,1,1,1,1
single digits,1,1,1,1
sleep apnea,1,1,1,1
small niche,1,1,1,1
smallest travel,1,1,1,1
solid growth,1,1,1,0
specified subgroup,1,1,1,1
strong demand,1,1,1,0
strong share,1,1,1,1
whole industry,1,1,1,1
