topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
absolute number,1,1,1,1
active customer,1,1,1,1
active customers,1,1,1,1
actual results,1,1,1,0
additional business,1,1,1,0
additional disclosures,1,1,1,0
appropriate assumptions,1,1,1,0
faster shipping,1,1,1,1
financial results,1,1,1,0
large enterprise,1,1,1,1
legal settlements,1,1,1,0
public company,1,1,1,1
public environment,1,1,1,1
small startups,1,1,1,1
strong convenience,1,1,1,1
subsequent filings,1,1,1,0
vast selection,1,1,1,1
