topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral
Outlier,0,0,1
additional accomplishments,1,1,1
additional comments,1,1,1
available areas,1,1,1
basic process,1,1,1
common platform,1,1,1
continued growth,1,1,1
continuous process,1,1,1
deliberate way,1,1,1
double digits,1,1,1
dry end,1,1,1
heavy industries,1,1,1
intelligent motor,1,1,1
macro outlook,1,1,1
organic growth,1,1,1
overall business,1,1,1
primary process,1,1,1
significant contributor,1,1,1
single control,1,1,1
sized chunks,1,1,1
strong performance,1,1,1
tangible bite,1,1,1
unusual surge,1,1,1
wet end,1,1,1
