topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
additional actions,1,1,1,1
appropriate steps,1,1,1,0
back half,1,1,1,1
broth business,1,1,1,0
center store,1,1,1,0
commerce unit,1,1,1,0
constant watch,1,1,1,1
different things,1,1,1,1
external development,1,1,1,0
fresh categories,1,1,1,0
good add,1,1,1,1
great job,1,1,1,1
immediate issues,1,1,1,0
key customer,1,1,1,0
larger chocolate,1,1,1,1
larger impact,1,1,1,0
longer term,1,1,1,0
low yields,1,1,1,0
many reasons,1,1,1,0
normal promotion,1,1,1,0
original shapes,1,1,1,1
personalized nutrition,1,1,1,0
positive performance,1,1,1,0
private label,1,1,1,0
private labels,1,1,1,0
promotional approach,1,1,1,0
pure play,1,1,1,1
real food,1,1,1,0
retail pricing,1,1,1,0
right direction,1,1,1,0
robust analytics,1,1,1,0
savory crackers,1,1,1,1
seasonal inventory,1,1,1,0
several meal,1,1,1,1
sharper focus,1,1,1,0
solid results,1,1,1,1
strategic partnership,1,1,1,1
strategic transition,1,1,1,0
strong innovation,1,1,1,1
successful launch,1,1,1,1
top talent,1,1,1,1
