topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted tax,1,1,1,1
certain items,0,1,1,1
continued momentum,0,1,1,1
diluted earnings,0,1,1,1
diluted shares,0,1,1,1
double digit,0,1,1,1
extra month,0,1,1,1
fiscal calendar,0,1,1,1
free cash,1,1,1,1
frozen dough,0,1,1,1
hot snacks,0,1,1,1
key brands,1,1,1,1
lower input,0,1,1,1
lower sales,0,1,1,1
measured channels,0,1,1,1
net price,0,1,1,1
net reduction,0,1,1,1
net sales,1,3,3,3
organic sales,0,1,1,1
quarterly core,1,1,1,1
recent innovation,0,1,1,1
retail segment,0,1,1,1
right zone,1,1,1,1
significant gap,1,1,1,1
significant progress,1,1,1,1
strong margin,1,1,1,1
total company,1,1,1,1
total segment,0,1,1,1
