topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted basis,1,1,1,1
adjusted operating,1,1,1,1
adjusted revenue,1,1,1,1
customized products,1,1,1,1
greater share,1,1,1,1
historical practice,1,1,1,1
larger merchant,1,1,1,1
long term,1,1,1,1
lower rate,1,1,1,1
lower tax,1,1,1,1
net interest,1,1,1,1
new accounts,1,1,1,1
new benefits,1,1,1,1
new customer,1,1,1,1
ongoing impact,1,1,1,1
proprietary billings,1,1,1,1
proprietary customers,1,1,1,1
recent revenue,1,1,1,1
regulated markets,1,1,1,1
regulatory environment,1,1,1,1
several months,1,1,1,1
significant amounts,1,1,1,1
solid progress,1,1,1,1
steady growth,1,1,1,1
steady operating,1,1,1,1
steady revenue,1,1,1,1
strong capital,1,1,1,1
strong credit,1,1,1,1
sustainable revenue,1,1,1,1
tremendous capital,1,1,1,1
