topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
alternative method,1,1,1,1
assisted method,1,1,1,1
best offering,1,1,1,0
competitive tax,1,1,1,1
consistent set,1,1,1,1
delightful end,1,1,1,0
early days,1,1,1,1
far season,1,1,1,1
financial details,1,1,1,1
firm believers,1,1,1,0
free category,1,1,1,1
free offer,1,1,1,0
free offerings,1,1,1,0
free products,1,1,1,0
future monetization,1,1,1,1
good lifeline,1,1,1,1
good weekend,1,1,1,1
lower rate,1,1,1,1
main drivers,1,1,1,1
many times,1,1,1,1
notable pickup,1,1,1,1
online ecosystem,1,1,1,1
potential customers,1,1,1,1
prior periods,1,1,1,1
profitable growth,1,1,1,1
select markets,1,1,1,1
several innovations,1,1,1,1
slow start,2,2,2,1
total number,1,1,1,1
