topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral
Outlier,1,1,1
autonomous vehicle,1,1,1
autonomous vehicles,1,1,1
average transaction,1,1,1
electric vehicle,1,1,1
electric vehicles,1,1,1
final validation,1,1,1
mass production,1,1,1
next winter,1,1,1
overall industry,1,1,1
personal mobility,1,1,1
relentless focus,1,1,1
retail market,1,1,1
retail sales,1,1,1
right investments,1,1,1
significant moves,1,1,1
softer industry,1,1,1
strategic plan,1,1,1
total sales,1,1,1
tougher business,1,1,1
transformative technologies,1,1,1
