topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
close attention,1,0,1,1
convertible notes,1,1,1,1
deferred revenue,1,1,1,1
definitive conversation,1,0,1,1
definitive law,1,0,1,1
foundry logic,1,1,1,1
gross margin,1,1,1,1
much uncertainty,1,0,1,1
multiple factors,1,1,1,1
overall business,1,1,1,1
practical reality,1,0,1,1
prepared remarks,1,0,1,1
reasonable number,1,1,1,1
senior notes,1,1,1,1
volatile memory,1,1,1,1
whole lot,1,1,1,1
