topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted profit,1,1,1,1
favorable change,1,1,1,0
favorable changes,1,1,1,0
favorable dealer,1,1,1,0
favorable impact,1,1,1,1
favorable price,1,1,1,1
favorable sales,1,1,1,0
flexible cost,1,1,1,1
higher end,1,1,1,1
higher estimate,1,1,1,1
higher material,1,1,1,1
higher production,2,2,2,1
higher sales,1,1,1,1
higher steel,1,1,1,1
historical levels,1,1,1,0
improved price,1,1,1,1
industrial applications,1,1,1,1
key areas,1,1,1,1
net change,1,1,1,0
new equipment,1,1,1,1
previous outlook,1,1,1,1
profitable growth,1,1,1,1
retail demand,1,1,1,0
significant increase,1,1,1,1
significant inventory,1,1,1,0
significant reductions,1,1,1,0
strong demand,1,1,1,1
