topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
additional treatment,1,1,1,0
best way,1,1,1,1
better yield,1,1,1,1
big part,0,1,1,1
big programs,1,1,1,0
big way,1,1,1,1
clear aligners,1,1,1,1
continued ramp,1,1,1,1
current scan,1,1,1,0
different offices,0,1,1,1
digital format,1,2,2,1
digital system,0,1,1,1
final comments,0,1,1,1
full arc,1,1,1,0
initial update,1,1,1,1
key factors,1,1,1,1
mandibular advancement,1,1,1,1
new program,1,1,1,1
new teen,1,1,1,1
outdated analog,0,1,1,1
potential patients,1,1,1,1
right kind,0,1,1,1
right product,0,1,1,1
several programs,1,1,1,0
significant growth,1,1,1,1
simultaneous actions,1,1,1,1
specific things,1,1,1,0
underlying drivers,1,1,1,1
unique visitors,1,1,1,1
whole office,0,1,1,1
whole thing,1,1,1,1
