topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),"Nervous (Negative, High arousal)",Neutral
Outlier,1,1,1,1
cheap equipment,1,1,0,1
critical markets,1,1,0,1
crude oil,1,1,0,1
difficult comp,1,1,0,1
frac sand,1,1,0,1
good space,1,1,1,1
great question,1,1,1,1
heavy demand,1,1,0,1
intermodal business,1,1,0,1
intermodal pricing,1,1,0,1
joint venture,1,1,0,1
larger step,1,1,0,1
little market,1,1,0,1
longer length,1,1,0,1
major population,1,1,0,1
new retailers,1,1,0,1
new terminals,1,1,0,1
particular plants,1,1,0,1
refined product,1,1,0,1
refined products,2,2,0,2
retail perspective,1,1,0,1
significant volumes,1,1,0,1
solid performance,1,1,0,1
solid pricing,1,1,0,1
total energy,1,1,0,1
