topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
average job,0,1,1,1
commercial development,0,1,1,1
commercial markets,0,1,1,1
financial outlook,1,1,1,1
financial results,1,1,1,1
gross margin,1,1,1,1
national average,0,1,1,1
net effect,1,1,1,1
next rate,1,1,1,1
normal number,1,1,1,1
ongoing earnings,1,1,1,1
positive effect,0,1,1,1
real estate,0,1,1,1
regulatory commission,1,1,1,1
related job,0,1,1,1
renewable resources,1,1,1,1
several factors,1,1,1,1
