topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
annual decline,0,1,1,1
compelling value,1,1,1,1
different issue,1,1,1,1
dual ops,0,1,1,1
encouraging sign,0,1,1,1
enormous amount,1,1,1,1
great margin,1,1,1,1
great retention,1,1,1,1
great story,1,1,1,1
gross level,1,1,1,1
historical ability,1,1,1,1
important source,1,1,1,1
incredible accomplishment,1,1,1,1
innovative ways,1,1,1,1
multiple times,1,1,1,1
new business,1,1,1,1
overall bookings,1,1,1,1
particular competitor,1,1,1,1
previous comments,1,1,1,1
referral business,1,1,1,1
referral partners,1,1,1,1
regulatory uncertainty,1,1,1,1
relative size,1,1,1,1
right execution,1,1,1,1
right head,1,1,1,1
right incentives,1,1,1,1
right products,1,1,1,1
right sales,1,1,1,1
significant grow,0,1,1,1
solid performance,1,1,1,1
strategic partners,1,1,1,1
strong sales,0,1,1,1
tight labor,0,1,1,1
total bookings,1,1,1,1
