topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
back half,1,1,1,1
common stock,1,1,1,1
consistent terms,1,1,1,1
earlier timing,1,1,1,1
early retirement,1,1,1,1
early warning,0,1,1,1
effective tax,1,1,1,1
favorable program,1,1,1,1
free cash,1,1,1,1
higher sales,0,1,1,1
higher volume,1,1,1,1
international awards,1,1,1,1
key bookings,0,1,1,1
net sales,0,1,1,1
operating income,1,1,1,1
prior expectations,1,1,1,1
prior guidance,1,1,1,1
strong balance,1,1,1,1
strong cash,1,1,1,1
strong margin,1,1,1,1
total book,0,1,1,1
total bookings,0,1,1,1
total company,1,1,1,1
unfavorable program,1,1,1,1
whole provision,1,1,1,1
