topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
catastrophic coverage,1,1,1,1
complicated answer,1,1,1,1
front store,1,1,1,1
great example,1,1,1,1
great question,1,1,1,1
new business,1,1,1,1
numerous evaluations,1,1,1,1
overall healthcare,1,1,1,1
overall plan,1,1,1,1
overall reimbursement,1,1,1,1
real savings,1,1,1,1
retail business,1,1,1,1
significant cash,1,1,1,1
significant growth,1,1,1,1
small percentage,1,1,1,1
strategic acquisitions,1,1,1,1
strong cash,1,1,1,1
strong results,1,1,1,1
substantial cash,1,1,1,1
therapeutic class,1,1,1,1
therapeutic drug,1,1,1,1
unexpected network,1,1,1,1
