topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
additional capital,0,1,1,0
adjusted earnings,1,2,2,1
adjusted revenue,0,1,1,0
basic share,0,1,1,0
compliant individual,1,1,1,1
continued repositioning,1,1,1,1
directional commentary,1,1,1,1
forward outlook,1,1,1,1
good job,1,1,1,1
higher premium,1,1,1,1
large group,1,1,1,1
meaningful number,1,1,1,1
meaningful part,1,1,1,1
medical benefit,1,1,1,1
medical cost,1,1,1,1
overall equation,1,1,1,1
premium yields,1,1,1,1
previous question,1,1,1,1
quarterly shareholder,0,1,1,0
small group,1,1,1,1
strong performance,0,1,1,0
strong underwriting,1,1,1,1
top line,1,1,1,1
total health,1,1,1,1
