topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
commercial banking,1,1,1,1
digital business,1,1,1,1
direct sales,1,1,1,1
financial services,1,1,1,1
higher utilization,1,1,1,1
joint offering,0,1,1,1
joint offerings,0,1,1,1
key capacity,0,1,1,1
new wins,1,1,1,1
notable outperformance,1,1,1,1
numerous use,0,1,1,1
rapid growth,1,1,1,1
reliable voice,0,1,1,1
rich campuses,0,1,1,1
significant milestone,0,1,1,1
square feet,0,1,1,1
strategic gateway,0,1,1,1
strong returns,1,1,1,1
top tier,1,1,1,1
unique position,0,1,1,1
