topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
average lag,0,1,1,1
colo interconnection,0,1,1,1
current backlog,1,1,1,1
digital economy,0,1,1,1
digital relationship,0,1,1,1
dominant presence,0,1,1,1
forward equity,1,1,1,1
general ledger,0,1,1,1
geographic regions,0,1,1,1
highest signings,0,1,1,1
historical average,0,1,1,1
large anchor,0,1,1,1
large signing,0,1,1,1
larger scale,0,1,1,1
leasing spreads,1,1,1,1
long time,0,1,1,1
major leases,0,1,1,1
multiple markets,0,1,1,1
negative cash,1,1,1,1
new leases,1,1,1,1
next stop,0,1,1,1
overall portfolio,1,1,1,1
positive mark,1,1,1,1
single tenant,0,1,1,1
small scale,0,1,1,1
smaller wins,0,1,1,1
special situations,1,1,1,1
specialized cloud,0,1,1,1
steady progress,1,1,1,1
strong quarters,1,1,1,1
top cloud,0,1,1,1
unique move,1,1,1,1
urban infill,0,1,1,1
vibrant customers,0,1,1,1
whole bunch,0,1,1,1
