topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
back half,2,2,2,2
balanced manner,1,1,1,0
deferred revenue,1,1,1,1
forward basis,1,1,1,1
full story,1,1,1,1
future flexibility,1,1,1,1
good progress,1,1,1,1
holistic approach,1,1,1,1
hybrid approach,1,1,1,1
hybrid cloud,1,1,1,1
hybrid fashion,1,1,1,1
international markets,1,1,1,0
large example,1,1,1,1
main markets,1,1,1,1
multiyear cloud,1,1,1,1
new metrics,1,1,1,1
perpetual license,1,1,1,1
primary strategy,1,1,1,0
pure play,1,1,1,1
rapid pace,1,1,1,1
rapid shift,1,1,1,1
several quarters,1,1,1,1
short term,1,1,1,1
significant growth,1,1,1,0
solid growth,1,1,1,0
top line,1,1,1,1
