topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
commercial market,1,1,1,1
critical issue,1,1,1,1
detailed plans,1,1,1,1
downstream connectivity,1,1,1,1
environmental approval,1,1,1,1
federal governments,1,1,1,1
firm transportation,1,1,1,1
industrial demand,1,1,1,1
intrastate network,1,1,1,1
intrastate system,1,1,1,1
latter part,1,1,1,1
liquids terminal,1,1,1,1
long term,2,2,2,2
main development,1,1,1,1
moving parts,1,1,1,1
open season,2,2,2,2
overall summary,1,1,1,1
promote payment,1,1,1,1
provincial approval,1,1,1,1
provincial level,1,1,1,1
refined products,1,1,1,1
significant investment,1,1,1,1
small project,1,1,1,1
strong support,1,1,1,1
upstream connectivity,1,1,1,1
vast majority,1,1,1,1
