topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
artificial intelligence,1,1,1,1
different kind,1,1,1,1
digital aspects,1,1,1,1
digital business,1,1,1,1
digital economy,1,1,1,1
digital experiences,1,1,1,1
digital operations,1,1,1,1
digital plans,1,1,1,1
digital revenue,1,1,1,1
double digit,1,1,1,1
entire portfolio,1,1,1,1
financial results,1,1,1,1
financial services,1,1,1,1
front end,1,1,1,1
higher margin,1,1,1,1
intellectual property,1,1,1,1
low end,1,1,1,1
patient populations,1,1,1,1
prepared remarks,1,1,1,1
significant player,1,1,1,1
