topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
current exchange,1,1,1,0
current pressures,1,1,1,0
current spot,1,1,1,0
double digit,1,1,1,1
efficient cost,1,1,1,0
gross margin,1,1,1,0
high performance,1,1,1,1
iconic core,1,1,1,1
initial feedback,1,1,1,1
long term,1,1,1,1
longer lead,1,1,1,1
near term,1,1,1,0
new talent,1,1,1,1
proactive expense,1,1,1,0
profitable growth,1,1,1,1
reported basis,1,1,1,1
right balance,1,1,1,1
right size,1,1,1,1
significant search,1,1,1,1
strong bench,1,1,1,1
strong foundation,1,1,1,1
strong leadership,1,1,1,1
substantial improvement,1,1,1,0
topline growth,1,1,1,0
total debt,1,1,1,1
upcoming fall,1,1,1,1
wholesale business,1,1,1,1
wholesale customers,1,1,1,1
wholesale doors,1,1,1,1
wholesale partners,1,1,1,1
wholesale shipments,1,1,1,1
