topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,0,1,0,1
aesthetic procedure,1,1,1,1
chronic migraine,1,1,1,1
formulary coverage,1,1,1,1
generic pressure,1,1,1,1
good sign,1,1,1,1
international business,1,1,1,1
large pool,1,1,1,1
long runway,1,1,1,1
long term,1,1,1,1
main point,1,1,1,1
marketed products,1,1,1,1
monthly basis,1,1,1,1
new label,1,1,1,1
new patient,1,1,1,1
new patients,1,1,1,1
positive outlook,1,1,1,1
proper context,1,1,1,1
strong growth,1,1,1,1
strong prescription,1,1,1,1
top product,1,1,1,1
