topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
clean energy,1,1,1,1
continuous improvement,1,1,1,1
critical requirement,1,1,1,1
electric system,1,1,1,1
final decision,1,1,1,1
financial results,1,1,1,1
important actions,1,1,1,1
operational performance,1,1,1,1
private rooftop,1,1,1,1
rapid growth,1,1,1,1
regulatory development,1,1,1,1
regulatory front,1,1,1,1
residential battery,1,1,1,1
residential rooftop,1,1,1,1
smart inverters,1,1,1,1
specific recommendations,1,1,1,1
upcoming proceeding,1,1,1,1
vast majority,1,1,1,1
wholesale market,1,1,1,1
