topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
continued success,1,1,1,1
financial performance,1,1,1,1
healthy customer,0,1,1,1
higher customer,0,1,1,1
higher programming,1,1,1,1
key driver,0,1,1,1
lowest levels,0,1,1,1
meaningful strides,0,1,1,1
positive benefits,0,1,1,1
positive contribution,1,1,1,1
programming operating,1,1,1,1
real discipline,1,1,1,1
residential customers,0,1,1,1
strong performance,0,1,1,1
strong performances,1,1,1,1
strong revenue,1,1,1,1
successful renewals,1,1,1,1
terrific results,0,1,1,1
theatrical revenue,1,1,1,1
total video,0,1,1,1
