topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
bottom line,1,1,1,1
broader choice,1,1,1,1
corresponding delay,1,1,1,0
detailed rollouts,1,1,1,0
digital investments,1,1,1,1
digital system,1,1,1,1
direct cost,1,1,1,0
economic recovery,1,1,1,1
financial metrics,1,1,1,1
financial targets,1,1,1,1
good economy,1,1,1,1
high demand,1,1,1,1
high level,1,1,1,1
higher supply,1,1,1,1
higher yields,1,1,1,1
important consumer,1,1,1,1
important part,1,1,1,1
important tourism,1,1,1,1
interested today,1,1,1,1
large yield,1,1,1,1
less change,1,1,1,1
less damage,1,1,1,1
major hurricanes,1,1,1,0
moderate yield,1,1,1,1
new appliances,1,1,1,1
new consumer,1,1,1,1
new ships,1,1,1,1
nice way,1,1,1,1
original state,1,1,1,1
primary concern,1,1,1,1
quiet spaces,1,1,1,1
rapid recovery,1,1,1,0
real changes,1,1,1,1
residential areas,1,1,1,1
several weeks,1,1,1,0
strong economy,1,1,1,1
strong results,1,1,1,1
sweet spot,1,1,1,1
technological investments,1,1,1,1
