topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),"Nervous (Negative, High arousal)",Neutral
Outlier,1,1,1,1
better results,1,1,1,1
commerce type,1,1,1,1
consistent strategy,1,1,1,1
digital engagement,1,1,1,1
disciplined approach,1,1,1,1
economic conditions,1,1,1,1
future growth,1,1,1,1
high level,1,1,1,1
immediate consumption,1,1,1,1
improved product,1,1,1,1
keen focus,1,1,1,1
key markets,1,1,1,1
many fronts,1,1,1,1
new marketing,1,1,1,1
new operating,1,1,1,1
new products,1,1,1,1
ongoing basis,1,1,1,1
organic growth,1,1,1,1
organic revenue,1,1,1,1
political instability,1,1,1,1
retail price,1,1,1,1
right actions,1,1,1,1
simple sense,1,1,1,1
single digits,1,1,1,1
slight repositioning,1,1,1,1
small number,1,1,1,1
small pack,1,1,1,1
smaller pack,1,1,1,1
smart risks,1,1,1,1
soft drinks,1,1,1,1
strategic priorities,1,1,1,1
strong performance,1,1,1,1
strong position,1,1,1,1
total beverage,1,1,1,1
