topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
different levels,0,1,1,1
domestic containerboard,0,1,1,1
effective tax,1,1,1,1
fewer shipping,0,1,1,1
global pulp,0,1,1,1
great start,0,1,1,1
higher containerboard,0,1,1,1
higher growth,0,1,1,1
higher prices,0,1,1,1
incremental fluff,0,1,1,1
industrial packaging,0,1,1,1
long runway,0,1,1,1
lower prices,0,1,1,1
lower pulp,0,1,1,1
medical claims,1,1,1,1
nice mix,0,1,1,1
normal erosion,0,1,1,1
normalized level,1,1,1,1
previous slide,1,1,1,1
repeating items,1,1,1,1
significant portion,1,1,1,1
significant product,0,1,1,1
solid fleet,0,1,1,1
solid results,0,1,1,1
special items,1,1,1,1
standalone business,0,1,1,1
total impact,1,1,1,1
underlined plans,1,1,1,1
upper end,1,1,1,1
wide range,0,1,1,1
