topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),"Nervous (Negative, High arousal)",Neutral
Outlier,1,1,1,1
annual growth,1,0,1,1
big thing,1,0,1,1
centralized processing,0,1,1,1
customized zone,1,1,1,1
dry gas,1,1,1,1
larger fracs,1,1,1,1
longer laterals,1,1,1,1
lower commodity,1,1,1,1
major line,0,1,1,1
major transportation,0,1,1,1
many landing,1,1,1,1
material ramp,1,1,1,1
middle part,1,1,1,1
multiple pipeline,0,1,1,1
necessary compression,0,1,1,1
next steps,0,1,1,1
operational capabilities,1,1,1,1
operational improvements,1,1,1,1
overhead structure,1,1,1,1
prolonged production,1,1,1,1
quarterly growth,1,1,1,1
residue gas,0,1,1,1
significant cost,1,1,1,1
strategic response,1,1,1,1
strict capital,1,1,1,1
structural efficiencies,1,1,1,1
thick hydrocarbon,0,1,1,1
vast resource,1,1,1,1
well pad,0,1,1,1
wet gas,1,2,2,2
whole hydro,1,1,1,1
