Index,Audio Path,Transcript Path
001,Grainger (W.W.) Inc._20170418/CEO/001-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/001.txt
002,Grainger (W.W.) Inc._20170418/CEO/002-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/002.txt
003,Grainger (W.W.) Inc._20170418/CEO/003-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/003.txt
004,Grainger (W.W.) Inc._20170418/CEO/004-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/004.txt
005,Grainger (W.W.) Inc._20170418/CEO/005-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/005.txt
006,Grainger (W.W.) Inc._20170418/CEO/006-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/006.txt
007,Grainger (W.W.) Inc._20170418/CEO/007-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/007.txt
008,Grainger (W.W.) Inc._20170418/CEO/008-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/008.txt
009,Grainger (W.W.) Inc._20170418/CEO/009-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/009.txt
010,Grainger (W.W.) Inc._20170418/CEO/010-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/010.txt
011,Grainger (W.W.) Inc._20170418/CEO/011-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/011.txt
012,Grainger (W.W.) Inc._20170418/CEO/012-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/012.txt
013,Grainger (W.W.) Inc._20170418/CEO/013-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/013.txt
014,Grainger (W.W.) Inc._20170418/CEO/014-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/014.txt
015,Grainger (W.W.) Inc._20170418/CEO/015-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/015.txt
016,Grainger (W.W.) Inc._20170418/CEO/016-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/016.txt
017,Grainger (W.W.) Inc._20170418/CEO/017-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/017.txt
018,Grainger (W.W.) Inc._20170418/CEO/018-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/018.txt
019,Grainger (W.W.) Inc._20170418/CEO/019-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/019.txt
020,Grainger (W.W.) Inc._20170418/CEO/020-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/020.txt
021,Grainger (W.W.) Inc._20170418/CEO/021-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/021.txt
022,Grainger (W.W.) Inc._20170418/CEO/022-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/022.txt
023,Grainger (W.W.) Inc._20170418/CEO/023-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/023.txt
024,Grainger (W.W.) Inc._20170418/CEO/024-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/024.txt
025,Grainger (W.W.) Inc._20170418/CEO/025-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/025.txt
026,Grainger (W.W.) Inc._20170418/CEO/026-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/026.txt
027,Grainger (W.W.) Inc._20170418/CEO/027-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/027.txt
028,Grainger (W.W.) Inc._20170418/CEO/028-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/028.txt
029,Grainger (W.W.) Inc._20170418/CEO/029-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/029.txt
030,Grainger (W.W.) Inc._20170418/CEO/030-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/030.txt
031,Grainger (W.W.) Inc._20170418/CEO/031-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/031.txt
032,Grainger (W.W.) Inc._20170418/CEO/032-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/032.txt
033,Grainger (W.W.) Inc._20170418/CEO/033-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/033.txt
034,Grainger (W.W.) Inc._20170418/CEO/034-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/034.txt
035,Grainger (W.W.) Inc._20170418/CEO/035-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/035.txt
036,Grainger (W.W.) Inc._20170418/CEO/036-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/036.txt
037,Grainger (W.W.) Inc._20170418/CEO/037-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/037.txt
038,Grainger (W.W.) Inc._20170418/CEO/038-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/038.txt
039,Grainger (W.W.) Inc._20170418/CEO/039-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/039.txt
040,Grainger (W.W.) Inc._20170418/CEO/040-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/040.txt
041,Grainger (W.W.) Inc._20170418/CEO/041-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/041.txt
042,Grainger (W.W.) Inc._20170418/CEO/042-DonaldG.Macpherson.mp3,Grainger (W.W.) Inc._20170418/sent_token/042.txt
