topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",1
-1,Outlier,Neutral,3
-1,Outlier,Positive (Low/Mid arousal),1
0,"net income, operating deposits, real estate, operational risk, higher rates, solid growth, long term, higher auto, specialized industries, standardized rules","Excited (Positive, High arousal)",18
0,"net income, operating deposits, real estate, operational risk, higher rates, solid growth, long term, higher auto, specialized industries, standardized rules",Negative (Low/Med arousal),58
0,"net income, operating deposits, real estate, operational risk, higher rates, solid growth, long term, higher auto, specialized industries, standardized rules",Neutral,98
0,"net income, operating deposits, real estate, operational risk, higher rates, solid growth, long term, higher auto, specialized industries, standardized rules",Positive (Low/Mid arousal),33
1,", , , , , , , , , ","Excited (Positive, High arousal)",5
1,", , , , , , , , , ",Negative (Low/Med arousal),4
1,", , , , , , , , , ",Neutral,9
1,", , , , , , , , , ",Positive (Low/Mid arousal),1
