topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",14
-1,Outlier,Negative (Low/Med arousal),17
-1,Outlier,Neutral,30
0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question","Excited (Positive, High arousal)",40
0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question",Negative (Low/Med arousal),24
0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question",Neutral,69
0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question",Positive (Low/Mid arousal),2
1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, ","Excited (Positive, High arousal)",4
1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, ",Negative (Low/Med arousal),8
1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, ",Neutral,13
1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, ",Positive (Low/Mid arousal),1
