topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",7
-1,Outlier,Negative (Low/Med arousal),10
-1,Outlier,Neutral,33
-1,Outlier,Positive (Low/Mid arousal),1
0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels","Excited (Positive, High arousal)",18
0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels",Negative (Low/Med arousal),12
0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels",Neutral,26
0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels",Positive (Low/Mid arousal),4
1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor","Excited (Positive, High arousal)",2
1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor",Negative (Low/Med arousal),7
1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor",Neutral,19
1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor",Positive (Low/Mid arousal),2
2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , ","Excited (Positive, High arousal)",2
2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , ",Negative (Low/Med arousal),4
2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , ","Nervous (Negative, High arousal)",1
2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , ",Neutral,10
2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , ",Positive (Low/Mid arousal),1
