topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",6
-1,Outlier,Negative (Low/Med arousal),9
-1,Outlier,Neutral,18
-1,Outlier,Positive (Low/Mid arousal),4
0,"unproductive event, significant sales, quarterly cash, nice margin, new rules, net income, markdown levels, lower store, higher tax, dramatic improvement","Excited (Positive, High arousal)",2
0,"unproductive event, significant sales, quarterly cash, nice margin, new rules, net income, markdown levels, lower store, higher tax, dramatic improvement",Negative (Low/Med arousal),13
0,"unproductive event, significant sales, quarterly cash, nice margin, new rules, net income, markdown levels, lower store, higher tax, dramatic improvement",Neutral,19
0,"unproductive event, significant sales, quarterly cash, nice margin, new rules, net income, markdown levels, lower store, higher tax, dramatic improvement",Positive (Low/Mid arousal),5
1,"less units, less labor, early innings, big investment, , , , , , ","Excited (Positive, High arousal)",3
1,"less units, less labor, early innings, big investment, , , , , , ",Negative (Low/Med arousal),6
1,"less units, less labor, early innings, big investment, , , , , , ",Neutral,10
1,"less units, less labor, early innings, big investment, , , , , , ",Positive (Low/Mid arousal),1
