topic_id,topic_keywords,emotion_label,count
-1,Outlier,Negative (Low/Med arousal),1
-1,Outlier,Neutral,1
-1,Outlier,Positive (Low/Mid arousal),1
0,"negative impact, principal growth, previous outlook, joint settlement, adjusted tax, previous estimate, effective tax, domestic money, digital business, slight improvement","Excited (Positive, High arousal)",16
0,"negative impact, principal growth, previous outlook, joint settlement, adjusted tax, previous estimate, effective tax, domestic money, digital business, slight improvement",Negative (Low/Med arousal),45
0,"negative impact, principal growth, previous outlook, joint settlement, adjusted tax, previous estimate, effective tax, domestic money, digital business, slight improvement",Neutral,82
0,"negative impact, principal growth, previous outlook, joint settlement, adjusted tax, previous estimate, effective tax, domestic money, digital business, slight improvement",Positive (Low/Mid arousal),22
1,", , , , , , , , , ","Excited (Positive, High arousal)",9
1,", , , , , , , , , ",Negative (Low/Med arousal),2
1,", , , , , , , , , ",Neutral,6
1,", , , , , , , , , ",Positive (Low/Mid arousal),1
