topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",3
-1,Outlier,Negative (Low/Med arousal),8
-1,Outlier,Neutral,19
-1,Outlier,Positive (Low/Mid arousal),6
0,"higher sales, average price, , , , , , , , ","Excited (Positive, High arousal)",1
0,"higher sales, average price, , , , , , , , ",Negative (Low/Med arousal),7
0,"higher sales, average price, , , , , , , , ",Neutral,7
0,"higher sales, average price, , , , , , , , ",Positive (Low/Mid arousal),6
1,"notable highlights, best guess, , , , , , , , ","Excited (Positive, High arousal)",4
1,"notable highlights, best guess, , , , , , , , ",Negative (Low/Med arousal),3
1,"notable highlights, best guess, , , , , , , , ",Neutral,9
1,"notable highlights, best guess, , , , , , , , ",Positive (Low/Mid arousal),2
2,"gross margins, gross margin, prepared remarks, , , , , , , ","Excited (Positive, High arousal)",1
2,"gross margins, gross margin, prepared remarks, , , , , , , ",Negative (Low/Med arousal),2
2,"gross margins, gross margin, prepared remarks, , , , , , , ",Neutral,10
2,"gross margins, gross margin, prepared remarks, , , , , , , ",Positive (Low/Mid arousal),1
3,"certain penetration, certain loading, , , , , , , , ",Negative (Low/Med arousal),8
3,"certain penetration, certain loading, , , , , , , , ",Neutral,2
3,"certain penetration, certain loading, , , , , , , , ",Positive (Low/Mid arousal),3
