topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",18
-1,Outlier,Negative (Low/Med arousal),29
-1,Outlier,Neutral,58
-1,Outlier,Positive (Low/Mid arousal),11
0,"particular competitor, enormous amount, great retention, strategic partners, referral business, incredible accomplishment, innovative ways, great story, important source, great margin","Excited (Positive, High arousal)",19
0,"particular competitor, enormous amount, great retention, strategic partners, referral business, incredible accomplishment, innovative ways, great story, important source, great margin",Negative (Low/Med arousal),18
0,"particular competitor, enormous amount, great retention, strategic partners, referral business, incredible accomplishment, innovative ways, great story, important source, great margin",Neutral,45
0,"particular competitor, enormous amount, great retention, strategic partners, referral business, incredible accomplishment, innovative ways, great story, important source, great margin",Positive (Low/Mid arousal),10
1,"new business, total bookings, overall bookings, relative size, gross level, multiple times, different issue, regulatory uncertainty, , ","Excited (Positive, High arousal)",1
1,"new business, total bookings, overall bookings, relative size, gross level, multiple times, different issue, regulatory uncertainty, , ",Negative (Low/Med arousal),15
1,"new business, total bookings, overall bookings, relative size, gross level, multiple times, different issue, regulatory uncertainty, , ",Neutral,13
1,"new business, total bookings, overall bookings, relative size, gross level, multiple times, different issue, regulatory uncertainty, , ",Positive (Low/Mid arousal),1
2,"compelling value, right sales, solid performance, right incentives, right head, right execution, right products, referral partners, previous comments, historical ability","Excited (Positive, High arousal)",3
2,"compelling value, right sales, solid performance, right incentives, right head, right execution, right products, referral partners, previous comments, historical ability",Negative (Low/Med arousal),3
2,"compelling value, right sales, solid performance, right incentives, right head, right execution, right products, referral partners, previous comments, historical ability",Neutral,12
2,"compelling value, right sales, solid performance, right incentives, right head, right execution, right products, referral partners, previous comments, historical ability",Positive (Low/Mid arousal),1
3,"tight labor, significant grow, annual decline, encouraging sign, strong sales, dual ops, , , , ",Negative (Low/Med arousal),4
3,"tight labor, significant grow, annual decline, encouraging sign, strong sales, dual ops, , , , ",Neutral,9
3,"tight labor, significant grow, annual decline, encouraging sign, strong sales, dual ops, , , , ",Positive (Low/Mid arousal),1
