topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",1
-1,Outlier,Negative (Low/Med arousal),10
-1,Outlier,Neutral,16
-1,Outlier,Positive (Low/Mid arousal),7
0,"unique position, strategic gateway, square feet, significant milestone, rich campuses, reliable voice, numerous use, key capacity, joint offerings, joint offering",Negative (Low/Med arousal),11
0,"unique position, strategic gateway, square feet, significant milestone, rich campuses, reliable voice, numerous use, key capacity, joint offerings, joint offering",Neutral,17
0,"unique position, strategic gateway, square feet, significant milestone, rich campuses, reliable voice, numerous use, key capacity, joint offerings, joint offering",Positive (Low/Mid arousal),7
1,"financial services, new wins, top tier, rapid growth, strong returns, notable outperformance, higher utilization, direct sales, digital business, commercial banking","Excited (Positive, High arousal)",6
1,"financial services, new wins, top tier, rapid growth, strong returns, notable outperformance, higher utilization, direct sales, digital business, commercial banking",Negative (Low/Med arousal),3
1,"financial services, new wins, top tier, rapid growth, strong returns, notable outperformance, higher utilization, direct sales, digital business, commercial banking",Neutral,12
1,"financial services, new wins, top tier, rapid growth, strong returns, notable outperformance, higher utilization, direct sales, digital business, commercial banking",Positive (Low/Mid arousal),7
