topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",4
-1,Outlier,Negative (Low/Med arousal),15
-1,Outlier,Neutral,29
-1,Outlier,Positive (Low/Mid arousal),5
0,"corrugated packaging, higher input, favorable impact, legal settlement, corrugated segment, ongoing productivity, solid results, stable results, strong productivity, strong fit","Excited (Positive, High arousal)",2
0,"corrugated packaging, higher input, favorable impact, legal settlement, corrugated segment, ongoing productivity, solid results, stable results, strong productivity, strong fit",Negative (Low/Med arousal),16
0,"corrugated packaging, higher input, favorable impact, legal settlement, corrugated segment, ongoing productivity, solid results, stable results, strong productivity, strong fit",Neutral,25
0,"corrugated packaging, higher input, favorable impact, legal settlement, corrugated segment, ongoing productivity, solid results, stable results, strong productivity, strong fit",Positive (Low/Mid arousal),9
1,"strategic plan, strong cash, productive partnership, pro forma, meaningful capital, free cash, balanced capital, , , ","Excited (Positive, High arousal)",6
1,"strategic plan, strong cash, productive partnership, pro forma, meaningful capital, free cash, balanced capital, , , ",Negative (Low/Med arousal),3
1,"strategic plan, strong cash, productive partnership, pro forma, meaningful capital, free cash, balanced capital, , , ",Neutral,16
1,"strategic plan, strong cash, productive partnership, pro forma, meaningful capital, free cash, balanced capital, , , ",Positive (Low/Mid arousal),12
2,"substantial potential, outstanding position, attractive returns, geographic presence, , , , , , ","Excited (Positive, High arousal)",1
2,"substantial potential, outstanding position, attractive returns, geographic presence, , , , , , ",Negative (Low/Med arousal),7
2,"substantial potential, outstanding position, attractive returns, geographic presence, , , , , , ",Neutral,15
2,"substantial potential, outstanding position, attractive returns, geographic presence, , , , , , ",Positive (Low/Mid arousal),3
3,", , , , , , , , , ","Excited (Positive, High arousal)",6
3,", , , , , , , , , ",Negative (Low/Med arousal),1
3,", , , , , , , , , ",Neutral,2
3,", , , , , , , , , ",Positive (Low/Mid arousal),2
4,"unique graphics, shorter run, regulatory requirements, regulatory compliance, new product, high performance, customized solutions, competitive markets, , ",Negative (Low/Med arousal),4
4,"unique graphics, shorter run, regulatory requirements, regulatory compliance, new product, high performance, customized solutions, competitive markets, , ",Neutral,7
