topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",6
-1,Outlier,Negative (Low/Med arousal),14
-1,Outlier,Neutral,20
-1,Outlier,Positive (Low/Mid arousal),13
0,"vast proportion, small capital, severance charge, operational savings, low watermark, less capital, interesting issues, financial perspective, best assets, ","Excited (Positive, High arousal)",1
0,"vast proportion, small capital, severance charge, operational savings, low watermark, less capital, interesting issues, financial perspective, best assets, ",Negative (Low/Med arousal),5
0,"vast proportion, small capital, severance charge, operational savings, low watermark, less capital, interesting issues, financial perspective, best assets, ",Neutral,5
0,"vast proportion, small capital, severance charge, operational savings, low watermark, less capital, interesting issues, financial perspective, best assets, ",Positive (Low/Mid arousal),3
1,"gross margin, top end, strong operating, meaningful improvements, negative impact, high demand, combined effect, additional supply, financial performance, ",Negative (Low/Med arousal),5
1,"gross margin, top end, strong operating, meaningful improvements, negative impact, high demand, combined effect, additional supply, financial performance, ",Neutral,5
1,"gross margin, top end, strong operating, meaningful improvements, negative impact, high demand, combined effect, additional supply, financial performance, ",Positive (Low/Mid arousal),3
2,"unusual items, successful iron, significant chunk, operational costs, major movement, better performance, financial performance, , , ","Excited (Positive, High arousal)",2
2,"unusual items, successful iron, significant chunk, operational costs, major movement, better performance, financial performance, , , ",Negative (Low/Med arousal),5
2,"unusual items, successful iron, significant chunk, operational costs, major movement, better performance, financial performance, , , ",Neutral,3
2,"unusual items, successful iron, significant chunk, operational costs, major movement, better performance, financial performance, , , ",Positive (Low/Mid arousal),2
