topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",1
-1,Outlier,Negative (Low/Med arousal),7
-1,Outlier,Neutral,5
-1,Outlier,Positive (Low/Mid arousal),3
0,"adjusted operating, seasonal factors, integrated care, political landscape, good position, higher payroll, financial impact, fewer treatment, comorbid conditions, clinical performance","Excited (Positive, High arousal)",3
0,"adjusted operating, seasonal factors, integrated care, political landscape, good position, higher payroll, financial impact, fewer treatment, comorbid conditions, clinical performance",Negative (Low/Med arousal),3
0,"adjusted operating, seasonal factors, integrated care, political landscape, good position, higher payroll, financial impact, fewer treatment, comorbid conditions, clinical performance",Neutral,15
0,"adjusted operating, seasonal factors, integrated care, political landscape, good position, higher payroll, financial impact, fewer treatment, comorbid conditions, clinical performance",Positive (Low/Mid arousal),6
1,"wide distribution, best stab, additional color, additional detail, , , , , , ","Excited (Positive, High arousal)",3
1,"wide distribution, best stab, additional color, additional detail, , , , , , ",Negative (Low/Med arousal),4
1,"wide distribution, best stab, additional color, additional detail, , , , , , ",Neutral,15
1,"wide distribution, best stab, additional color, additional detail, , , , , , ",Positive (Low/Mid arousal),1
