topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",8
-1,Outlier,Negative (Low/Med arousal),11
-1,Outlier,Neutral,28
-1,Outlier,Positive (Low/Mid arousal),6
0,"unallocated cost, quarterly basis, gross margins, corporate cost, material cost, big changes, legal settlement, , , ","Excited (Positive, High arousal)",1
0,"unallocated cost, quarterly basis, gross margins, corporate cost, material cost, big changes, legal settlement, , , ",Negative (Low/Med arousal),4
0,"unallocated cost, quarterly basis, gross margins, corporate cost, material cost, big changes, legal settlement, , , ",Neutral,7
0,"unallocated cost, quarterly basis, gross margins, corporate cost, material cost, big changes, legal settlement, , , ",Positive (Low/Mid arousal),1
1,"organic growth, positive thing, relative balance, organic rates, new product, intense focus, good headway, full percentage, best parameter, best customers","Excited (Positive, High arousal)",2
1,"organic growth, positive thing, relative balance, organic rates, new product, intense focus, good headway, full percentage, best parameter, best customers",Negative (Low/Med arousal),4
1,"organic growth, positive thing, relative balance, organic rates, new product, intense focus, good headway, full percentage, best parameter, best customers",Neutral,5
1,"organic growth, positive thing, relative balance, organic rates, new product, intense focus, good headway, full percentage, best parameter, best customers",Positive (Low/Mid arousal),1
2,"various areas, small number, important thing, annual plan, , , , , , ",Negative (Low/Med arousal),6
2,"various areas, small number, important thing, annual plan, , , , , , ",Neutral,4
