topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",7
-1,Outlier,Negative (Low/Med arousal),26
-1,Outlier,Neutral,51
-1,Outlier,Positive (Low/Mid arousal),9
0,"organic growth, exciting area, advisory business, strong momentum, shorter time, special part, highest quarters, highest growth, great growth, portal space","Excited (Positive, High arousal)",16
0,"organic growth, exciting area, advisory business, strong momentum, shorter time, special part, highest quarters, highest growth, great growth, portal space",Negative (Low/Med arousal),4
0,"organic growth, exciting area, advisory business, strong momentum, shorter time, special part, highest quarters, highest growth, great growth, portal space",Neutral,19
0,"organic growth, exciting area, advisory business, strong momentum, shorter time, special part, highest quarters, highest growth, great growth, portal space",Positive (Low/Mid arousal),3
1,"different ways, healthy pipeline, next generation, strategic partner, total package, continuous innovation, competitive positioning, several machine, public companies, new asset","Excited (Positive, High arousal)",5
1,"different ways, healthy pipeline, next generation, strategic partner, total package, continuous innovation, competitive positioning, several machine, public companies, new asset",Negative (Low/Med arousal),10
1,"different ways, healthy pipeline, next generation, strategic partner, total package, continuous innovation, competitive positioning, several machine, public companies, new asset",Neutral,14
1,"different ways, healthy pipeline, next generation, strategic partner, total package, continuous innovation, competitive positioning, several machine, public companies, new asset",Positive (Low/Mid arousal),3
2,"global capital, new ways, next generation, trade risk, unique sets, primary area, public offering, relative strength, preferred venue, modular architecture","Excited (Positive, High arousal)",3
2,"global capital, new ways, next generation, trade risk, unique sets, primary area, public offering, relative strength, preferred venue, modular architecture",Negative (Low/Med arousal),9
2,"global capital, new ways, next generation, trade risk, unique sets, primary area, public offering, relative strength, preferred venue, modular architecture",Neutral,9
2,"global capital, new ways, next generation, trade risk, unique sets, primary area, public offering, relative strength, preferred venue, modular architecture",Positive (Low/Mid arousal),2
3,"sustainable level, strategic approach, standard sweep, specific goals, slight decline, measured approach, dynamic conversation, incremental market, competitive environment, daily volumes","Excited (Positive, High arousal)",4
3,"sustainable level, strategic approach, standard sweep, specific goals, slight decline, measured approach, dynamic conversation, incremental market, competitive environment, daily volumes",Negative (Low/Med arousal),10
3,"sustainable level, strategic approach, standard sweep, specific goals, slight decline, measured approach, dynamic conversation, incremental market, competitive environment, daily volumes",Neutral,7
3,"sustainable level, strategic approach, standard sweep, specific goals, slight decline, measured approach, dynamic conversation, incremental market, competitive environment, daily volumes",Positive (Low/Mid arousal),1
4,"tremendous efficiency, outstanding shareholder, nice return, consistent shareholder, balanced approach, , , , , ","Excited (Positive, High arousal)",4
4,"tremendous efficiency, outstanding shareholder, nice return, consistent shareholder, balanced approach, , , , , ",Negative (Low/Med arousal),1
4,"tremendous efficiency, outstanding shareholder, nice return, consistent shareholder, balanced approach, , , , , ",Neutral,6
4,"tremendous efficiency, outstanding shareholder, nice return, consistent shareholder, balanced approach, , , , , ",Positive (Low/Mid arousal),1
5,", , , , , , , , , ","Excited (Positive, High arousal)",6
5,", , , , , , , , , ",Negative (Low/Med arousal),1
5,", , , , , , , , , ",Neutral,4
