topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",4
-1,Outlier,Negative (Low/Med arousal),14
-1,Outlier,Neutral,18
-1,Outlier,Positive (Low/Mid arousal),8
0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity","Excited (Positive, High arousal)",3
0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",Negative (Low/Med arousal),12
0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",Neutral,23
0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",Positive (Low/Mid arousal),10
1,"net revenue, incremental margin, positive trend, strong capabilities, ongoing theme, overall story, net flow, key points, incremental margins, institutional side","Excited (Positive, High arousal)",7
1,"net revenue, incremental margin, positive trend, strong capabilities, ongoing theme, overall story, net flow, key points, incremental margins, institutional side",Negative (Low/Med arousal),13
1,"net revenue, incremental margin, positive trend, strong capabilities, ongoing theme, overall story, net flow, key points, incremental margins, institutional side",Neutral,18
1,"net revenue, incremental margin, positive trend, strong capabilities, ongoing theme, overall story, net flow, key points, incremental margins, institutional side",Positive (Low/Mid arousal),8
