filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0063,-0.0027,1.9128,4.445,0.8287186256267797,0.9922978177150192,0.6575373810661058,0.9845956354300385,0.9998998701874535,1.0
002.wav,-0.027,-0.0116,0.4078,3.4339,0.20118452949882776,0.8261297444230772,0.3814069001317816,0.9274711168164312,0.02096215886587391,0.7247883720297231
003.wav,-0.0924,-0.0396,0.2088,3.3449,-0.6169398374954725,0.7241584820599503,-0.6751926485852868,0.7477535301668806,-0.5586870264056583,0.7005634339530199
004.wav,-0.0066,-0.0028,0.8217,3.7364,0.7672912114805669,0.8955398646826287,0.6543438907891779,0.9839537869062901,0.8802385321719559,0.8071259424589673
005.wav,-0.033,-0.0142,0.4833,3.4696,0.271900116080642,0.8226443107454622,0.28176780391458023,0.9107830551989731,0.26203242824670386,0.7345055662919512
006.wav,-0.0151,-0.0065,0.4026,3.4615,0.27893421801721324,0.8462531081321276,0.5539374756539457,0.9602053915275994,0.0039309603804807925,0.7323008247366558
007.wav,-0.0481,-0.0206,-0.1919,3.2246,-0.4761702492134918,0.768761844340613,0.0074734426813583225,0.8697047496790756,-0.959813941108342,0.6678189390021503
008.wav,-0.0093,-0.004,0.4978,3.5145,0.4651161668578122,0.8614892580388998,0.6245381702480126,0.9762516046213093,0.30569416346761186,0.7467269114564903
009.wav,-0.0217,-0.0093,0.6661,3.5974,0.5812966336601706,0.8557625607357398,0.4626910563317299,0.9422336328626444,0.6999022109886112,0.7692914886088352
010.wav,-0.025,-0.0107,1.3929,4.0829,0.7049305793216567,0.9173438201494979,0.4128757026047852,0.933247753530167,0.9969854560385283,0.9014398867688288
011.wav,-0.1416,-0.0607,0.2729,3.366,-0.6689450038618107,0.659315070632688,-0.9401658597775867,0.6123234916559691,-0.3977241479460346,0.7063066496094068
012.wav,-0.0066,-0.0028,0.0208,3.3986,-0.09651661095453423,0.8495669203999863,0.6543438907891779,0.9839537869062901,-0.8473771126982463,0.7151800538936824
013.wav,-0.1866,-0.08,0.3008,3.4926,-0.6533508963243515,0.6146063350601286,-0.9885879269669724,0.4884467265725288,-0.31811386568173056,0.7407659435477285
014.wav,-0.0485,-0.0208,-0.6732,3.263,-0.4991249781585183,0.7733460498738611,0.0,0.8684210526315789,-0.9982499563170366,0.6782710471161435
015.wav,-0.0968,-0.0415,0.3312,3.4625,-0.4717370455410565,0.7340657116338927,-0.7174814497124032,0.735558408215661,-0.22599264136970978,0.7325730150521244
