filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0108,-0.0046,1.7799,4.3403,0.798327871971995,0.9479897356675864,0.5983481903996067,0.9655511811023622,0.9983075535443832,0.9304282902328107
002.wav,-0.0447,-0.0192,0.6719,3.6197,0.29193046086093405,0.631586297780279,0.11625952160637931,0.8218503937007875,0.4676014001154888,0.4413222018597705
003.wav,-0.1452,-0.0622,1.404,4.0867,0.03379431702120356,0.5784598731435298,-0.9192629260441205,0.3986220472440945,0.9868515600865276,0.7582976990429651
004.wav,-0.0119,-0.0051,0.5341,3.6107,0.35784971975105284,0.6979216938139299,0.5862623727885604,0.9606299212598425,0.1294370667135452,0.43521346636801733
005.wav,-0.1517,-0.065,0.6584,3.5604,-0.2482127101737267,0.38606770728949047,-0.934688485552008,0.37106299212598426,0.4382630652045546,0.4010724224529966
006.wav,-0.01,-0.0043,0.9772,3.8038,0.7395458111035522,0.7673918585466981,0.6069705868543224,0.9685039370078741,0.872121035352782,0.5662797800855222
007.wav,-0.0524,-0.0225,0.1185,3.3009,-0.38889088470078953,0.507153647257135,-0.013539764926526594,0.7893700787401574,-0.7642420044750524,0.22493721577411246
008.wav,-0.0624,-0.0268,0.2016,3.3445,-0.41648627544544564,0.5007889447921026,-0.1807887770066192,0.7470472440944882,-0.6521837738842721,0.25453064548971693
009.wav,-0.1103,-0.0473,0.5208,3.491,-0.3326726257238557,0.44962143743944044,-0.7588681565914988,0.5452755905511811,0.0935229051437874,0.35396728432769975
010.wav,-0.0702,-0.0301,0.4657,3.4881,-0.18081655191284218,0.5332829215682189,-0.30481454511949163,0.7145669291338583,-0.05681855870619276,0.3519989140025793
011.wav,-0.0752,-0.0322,0.8674,3.6801,0.19952380927056376,0.588108121144295,-0.3794761021791551,0.6938976377952757,0.7785237207202826,0.48231860449331426
012.wav,-0.0587,-0.0252,0.1789,3.3204,-0.4030116205048478,0.5004840424650644,-0.11959758864600302,0.7627952755905512,-0.6864256523636926,0.23817280933957766
013.wav,-0.159,-0.0682,0.2809,3.3839,-0.7291275042855465,0.31042013055484746,-0.9486210685377854,0.33956692913385833,-0.5096339400333076,0.2812733319758366
