filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0039,-0.0017,1.9128,4.445,0.8071615828667581,0.9944444444444445,0.6153553768393885,0.9888888888888888,0.9989677888941277,1.0
002.wav,-0.0714,-0.0306,0.4135,3.426,-0.2895505258953915,0.5518293194948274,-0.6697525603013589,0.7881944444444444,0.09065150851057595,0.31546419454521035
003.wav,-0.0186,-0.008,0.3762,3.508,0.18293154886657534,0.6578441992476152,0.36684847471076004,0.9451388888888888,-0.0009853769776093854,0.3705495096063415
004.wav,-0.0295,-0.0127,0.8217,3.7364,0.4682133974929192,0.7182411326078194,0.13719623993361552,0.9125,0.7992305550522228,0.5239822652156388
005.wav,-0.01,-0.0043,0.2305,3.3424,0.08855792875939567,0.6150686887007927,0.5222497845571135,0.9708333333333333,-0.34513392703832213,0.2593040440682521
006.wav,-0.052,-0.0223,0.3765,3.4654,-0.17764198358709574,0.593882674996641,-0.35503762285504153,0.8458333333333333,-0.0002463443191499558,0.34193201665994877
007.wav,-0.1137,-0.0487,0.2432,3.3526,-0.6303205093781264,0.4643280599220744,-0.9433577844526753,0.6625,-0.3172832343035776,0.2661561198441487
008.wav,-0.0115,-0.0049,0.8554,3.7412,0.6622078931339093,0.7469367190648932,0.4971229678512977,0.9666666666666667,0.8272928184165208,0.5272067714631197
009.wav,-0.1492,-0.0639,0.2639,3.4448,-0.6295455656839802,0.44251897756281067,-0.9883809060108906,0.5569444444444445,-0.27071022535706984,0.3280935106811768
010.wav,-0.0262,-0.0112,-0.6051,3.3089,-0.387326620011535,0.5798581721080209,0.2096056414383036,0.9229166666666667,-0.9842588814613736,0.23679967754937523
011.wav,-0.0956,-0.041,0.2312,3.3656,-0.6097752851376191,0.4954306899099825,-0.8759365492598233,0.7159722222222221,-0.3436140210154149,0.2748891575977429
012.wav,-0.0422,-0.0181,0.4868,3.2827,0.058355495223305964,0.5470996238076045,-0.14828249574252256,0.8749999999999999,0.2649934861891345,0.21919924761520904
013.wav,-0.0747,-0.032,0.3969,3.4725,-0.3294711116409573,0.5625869105199516,-0.7089084763240812,0.7784722222222221,0.04996625304216645,0.3467015988176811
014.wav,-0.0689,-0.0295,-0.0861,3.0488,-0.7258576742565354,0.4289525392986699,-0.6373567593690938,0.7958333333333333,-0.814358589143977,0.06207174526400646
015.wav,-0.1398,-0.0599,0.2704,3.4163,-0.6190404686427047,0.4468351135294908,-0.9822729646614182,0.5847222222222221,-0.255807972623991,0.30894800483675944
016.wav,-0.0067,-0.0029,-0.4542,3.1988,-0.1963704429347517,0.5716965605266693,0.5744371465630683,0.9805555555555554,-0.9671780324325717,0.16283756549778308
017.wav,-0.1107,-0.0474,0.6199,3.5699,-0.19939700140713235,0.5418299912669622,-0.9353849705497556,0.6715277777777777,0.5365909677354909,0.4121322047561467
018.wav,-0.1364,-0.0584,0.2899,3.3774,-0.5948724873514755,0.43897747883917776,-0.9793538708195095,0.5951388888888888,-0.2103911038834413,0.28281606878946675
019.wav,-0.0802,-0.0344,0.3623,3.4478,-0.4003782638744671,0.545957191320704,-0.7655438540131652,0.7618055555555555,-0.035212673735769084,0.33010882708585243
020.wav,-0.0241,-0.0103,0.2866,3.3984,0.018209812594843763,0.613044975144431,0.2545668138302762,0.9291666666666666,-0.21814718864058866,0.2969232836221954
021.wav,-0.0648,-0.0278,0.2155,3.3408,-0.47811431445704355,0.5329340487706571,-0.5789689670996602,0.8076388888888889,-0.3772596618144269,0.2582292086524252
022.wav,-0.0434,-0.0186,0.6499,3.6148,0.20619331110339212,0.656911275695284,-0.17473296414702003,0.8715277777777777,0.5871195863538042,0.44229477361279035
023.wav,-0.0718,-0.0308,0.2117,3.33,-0.5299873509794123,0.5188898125755743,-0.6747147579306644,0.7868055555555555,-0.3852599440281603,0.2509740695955932
024.wav,-0.3363,-0.1441,0.2525,3.353,-0.6482649373044929,0.13321241434905287,-0.9999975487008101,0.0,-0.2965323259081755,0.26642482869810574
025.wav,-0.0369,-0.0158,0.41,3.4318,0.02633911451080167,0.6051663475749025,-0.029415604903348772,0.890972222222222,0.0820938339249521,0.3193604729275829
026.wav,-0.1017,-0.0436,0.8758,3.7653,-0.030967159775846242,0.6206565732903397,-0.9044413662328041,0.6979166666666666,0.8425070466811116,0.543396479914013
027.wav,-0.0649,-0.0278,0.3635,3.4027,-0.306365797609413,0.5537253963455595,-0.5804716867309523,0.8076388888888889,-0.032259908487873745,0.29981190380223016
028.wav,-0.1137,-0.0487,0.5604,3.5395,-0.2595877935589286,0.5271051659277173,-0.9433577844526753,0.6625,0.42418219733481816,0.3917103318554345
029.wav,-0.0134,-0.0058,0.2285,3.3235,0.05729663556439482,0.6035121086927314,0.46405980423117293,0.9604166666666666,-0.3494665331023833,0.24660755071879625
030.wav,-0.0628,-0.0269,0.4103,3.4531,-0.23262950471724556,0.573779054144834,-0.5480868510289125,0.8138888888888888,0.08282784159442141,0.33366921940077926
031.wav,-0.0482,-0.0207,0.3366,3.4033,-0.18795965910032614,0.5785797057638049,-0.27769927814923145,0.8569444444444444,-0.09822004005142083,0.30021496708316553
032.wav,-0.1317,-0.0564,0.1974,3.454,-0.6946830672359375,0.47165079604997984,-0.9745213150981903,0.6090277777777777,-0.41484481937368484,0.334273814322182
033.wav,-0.0226,-0.0097,0.4975,3.482,0.2876796285728231,0.6432083837162434,0.28603348114536875,0.9333333333333333,0.2893257760002774,0.35308343409915366
034.wav,-0.0062,-0.0027,0.6842,3.6517,0.6108616265446521,0.7245138049173719,0.5819704628991593,0.9819444444444443,0.639752790190145,0.46708316539029954
035.wav,-0.0027,-0.0012,0.1571,3.3294,0.06920637310697578,0.6214660587128846,0.6319499134773698,0.992361111111111,-0.4935371672634183,0.2505710063146582
036.wav,-0.0675,-0.0289,0.0347,3.3165,-0.6525799178151194,0.5209525728872766,-0.6181602061981534,0.7999999999999999,-0.6869996294320854,0.24190514577455327
037.wav,-0.1247,-0.0534,-0.4814,3.0236,-0.9682113884952359,0.3375020992879216,-0.9651874242011785,0.6298611111111111,-0.9712353527892934,0.04514308746473205
038.wav,-0.061,-0.0261,0.2195,3.3473,-0.4438634728532346,0.5410200859868333,-0.518949878994028,0.8194444444444444,-0.3687770667124411,0.26259572752922217
039.wav,-0.0516,-0.0221,0.344,3.4301,-0.21361801127134067,0.5827203412602444,-0.34709997572159434,0.8472222222222221,-0.08013604682108696,0.3182184602982668
040.wav,-0.0133,-0.0057,-0.0514,3.1524,-0.15882966482584165,0.5463892247749563,0.4658339047612092,0.9611111111111109,-0.7834932344128925,0.13166733843880166
041.wav,-0.1388,-0.0595,0.0545,3.2518,-0.8209164107781981,0.3929707443235254,-0.9814596699391169,0.5875,-0.6603731516172794,0.1984414886470508
042.wav,-0.2009,-0.0861,0.1637,3.2821,-0.740007792512814,0.31078698105602576,-0.9988752434658468,0.4027777777777778,-0.4811403415597813,0.21879618433427367
043.wav,-0.0902,-0.0386,0.0616,3.2201,-0.7473264196565187,0.4548926004299341,-0.8442569000974914,0.7326388888888888,-0.650395939215546,0.17714631197097944
044.wav,-0.0196,-0.0084,-0.0848,3.2826,-0.2330885691752081,0.5807465907564154,0.34709997572159434,0.9423611111111111,-0.8132771140720105,0.21913207040171973
045.wav,-0.0241,-0.0103,0.1555,3.297,-0.12097299507393103,0.5789861279054145,0.2545668138302762,0.9291666666666666,-0.49651280397813824,0.2288055891441624
046.wav,-0.1346,-0.0577,0.2415,3.3519,-0.6493326186576275,0.4328429396748623,-0.97762075475715,0.6,-0.32104448255810486,0.26568587934972465
047.wav,-0.0869,-0.0372,0.3396,3.4112,-0.4561501845744887,0.5239415390299611,-0.8214045461578814,0.7423611111111111,-0.09089582299109601,0.30552196694881095
048.wav,-0.0482,-0.0207,0.2023,3.4126,-0.3412503862808103,0.581703446191052,-0.27769927814923145,0.8569444444444444,-0.40480149441238905,0.3064624479376594
049.wav,-0.069,-0.0296,0.2107,3.3263,-0.5130272632559402,0.5218137007926911,-0.6386987696626755,0.7951388888888888,-0.38735575684920487,0.24848851269649322
050.wav,-0.041,-0.0176,0.3305,3.4108,-0.11734859422327784,0.5918627401585381,-0.12161816236409832,0.8784722222222221,-0.11307902608245736,0.30525325809485426
051.wav,-0.0065,-0.0028,0.1464,3.3727,0.03212365009879792,0.6304543698777374,0.5774623038786415,0.98125,-0.5132150036810457,0.27965873975547495
052.wav,-0.0024,-0.001,0.3907,3.3969,0.3353657295215869,0.6448328127099288,0.6360108715523878,0.9937499999999999,0.03472058749078598,0.2959156254198576
053.wav,-0.0002,-0.0001,0.211,3.3299,0.1390011936062861,0.6254534461910519,0.6647298191538223,1.0,-0.38672743194125014,0.2509068923821039
