filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0107,-0.0046,1.9155,4.4464,0.8292327904824774,0.9903930131004368,0.6587842842981714,0.9807860262008734,0.9996812966667836,1.0,"Excited (Positive, High arousal)"
002.wav,-0.0701,-0.03,1.2409,3.9968,0.373781640790702,0.7986259845980637,-0.2348150901522236,0.8698689956331878,0.9823783717336276,0.7273829735629397,"Excited (Positive, High arousal)"
003.wav,-0.1991,-0.0853,0.34,3.3979,-0.6493977999707952,0.4963107426970016,-0.9859613656750988,0.6283842794759824,-0.3128342342664915,0.3642372059180208,Negative (Low/Med arousal)
004.wav,-0.0438,-0.0188,0.29,3.3517,-0.1134893807473378,0.627500458075743,0.2134074430315352,0.9187772925764192,-0.4403862045262109,0.3362236235750668,Neutral
005.wav,-0.1307,-0.056,0.1444,3.2799,-0.7893327850891851,0.5245096206497368,-0.8591340281805967,0.7563318777292577,-0.7195315419977735,0.2926873635702159,Negative (Low/Med arousal)
006.wav,-0.0831,-0.0356,0.5498,3.325,-0.070547587284373,0.5827244015094788,-0.4338971182235134,0.8454148471615721,0.2928019436547673,0.3200339558573855,Neutral
007.wav,-0.0172,-0.0074,1.1978,3.9639,0.7837327804695327,0.8379964296570417,0.5901906547078797,0.9685589519650656,0.9772749062311856,0.7074339073490179,"Excited (Positive, High arousal)"
008.wav,-0.0421,-0.018,0.6609,3.5627,0.4006548699263187,0.6932175928622797,0.2413575498126748,0.9222707423580788,0.5599521900399625,0.4641644433664808,Positive (Low/Mid arousal)
009.wav,-0.0604,-0.0259,0.4904,3.4718,0.0264870941016006,0.6484098681695081,-0.0709707679304177,0.8877729257641921,0.123944956133619,0.4090468105748241,Neutral
010.wav,-0.0307,-0.0132,0.505,3.5227,0.2916957306641127,0.6915708502839011,0.4168560658271205,0.943231441048035,0.1665353955011049,0.4399102595197671,Neutral
011.wav,-0.2234,-0.0957,0.6326,3.5888,-0.24730002110424,0.531479865320436,-0.9939313372517355,0.5829694323144106,0.4993312950432555,0.4799902983264613,Neutral
012.wav,-0.0124,-0.0053,0.5799,3.554,0.5071457504663375,0.718309208010871,0.6417751434103347,0.9777292576419214,0.3725163575223401,0.4588891583798204,Positive (Low/Mid arousal)
013.wav,-0.0704,-0.0302,0.8213,3.718,0.2823172752685002,0.7136634726695595,-0.2397239646340251,0.868995633187773,0.8043585151710256,0.5583313121513461,Neutral
014.wav,-0.1318,-0.0565,0.4377,3.4905,-0.4482620577952118,0.5872670565694417,-0.8640479165535497,0.7541484716157205,-0.0324761990368738,0.4203856415231627,Negative (Low/Med arousal)
015.wav,-0.0183,-0.0078,0.1228,3.3498,-0.0857724841970226,0.6509418884582918,0.5776212897800698,0.966812227074236,-0.749166258174115,0.3350715498423479,Neutral
016.wav,-0.0536,-0.023,0.8986,3.7536,0.4593746326333997,0.7401771084988145,0.0467813821347697,0.9004366812227075,0.8719678831320297,0.5799175357749213,Positive (Low/Mid arousal)
017.wav,-0.0279,-0.012,-0.1193,3.2612,-0.2391694128621052,0.6149100741712006,0.4561431781192089,0.948471615720524,-0.9344820038434192,0.2813485326218773,Neutral
018.wav,-0.2522,-0.1081,0.0599,3.2996,-0.9091597251141732,0.4167267549067061,-0.997760338041912,0.5288209606986899,-0.8205591121864343,0.3046325491147222,Negative (Low/Med arousal)
019.wav,-0.0523,-0.0224,1.3353,4.0075,0.5295844481607079,0.8184638681504439,0.06924538137285,0.903056768558952,0.989923514948566,0.7338709677419357,"Excited (Positive, High arousal)"
020.wav,-0.1895,-0.0812,0.1666,3.3839,-0.8332733275950753,0.5010182255893291,-0.9804699407623364,0.646288209606987,-0.6860767144278143,0.3557482415716712,Negative (Low/Med arousal)
021.wav,-0.0382,-0.0164,0.5648,3.6005,0.3185231772939494,0.7081711445115112,0.3039242707790723,0.9292576419213974,0.3331220838088265,0.4870846471016249,Neutral
022.wav,-0.1955,-0.0838,0.5455,3.4697,-0.3515342444315447,0.5213539818697328,-0.9841094961963672,0.6349344978165938,0.2810410073332777,0.4077734659228717,Neutral
