company,filename,fused_valence,fused_arousal,emotion_label
3M Company_20170425_emotion_results_normalized.csv,001.wav,0.9738011740295412,0.995781438328646,"Excited (Positive, High arousal)"
3M Company_20170425_emotion_results_normalized.csv,002.wav,0.8871150086767141,0.7684654920892997,"Excited (Positive, High arousal)"
3M Company_20170425_emotion_results_normalized.csv,003.wav,0.2015810733086385,0.5005537404748417,Neutral
3M Company_20170425_emotion_results_normalized.csv,004.wav,-0.0371560684887575,0.4833855039972695,Neutral
3M Company_20170425_emotion_results_normalized.csv,005.wav,0.2526978168021114,0.5085006811237291,Neutral
3M Company_20170425_emotion_results_normalized.csv,006.wav,-0.0845532510467123,0.4875128208638601,Neutral
3M Company_20170425_emotion_results_normalized.csv,007.wav,0.8029646647437261,0.7044614171508772,Positive (Low/Mid arousal)
3M Company_20170425_emotion_results_normalized.csv,008.wav,0.1651174020096621,0.6384340096997894,Neutral
3M Company_20170425_emotion_results_normalized.csv,009.wav,0.2942567454602728,0.5731845413301615,Neutral
3M Company_20170425_emotion_results_normalized.csv,010.wav,0.6731996638789851,0.6000575640247765,Positive (Low/Mid arousal)
3M Company_20170425_emotion_results_normalized.csv,011.wav,-0.429217494517603,0.3777879602798796,Negative (Low/Med arousal)
3M Company_20170425_emotion_results_normalized.csv,012.wav,-0.2612020290391915,0.407246966288703,Neutral
3M Company_20170425_emotion_results_normalized.csv,013.wav,0.6055722865122921,0.5976818975635699,Positive (Low/Mid arousal)
3M Company_20170425_emotion_results_normalized.csv,014.wav,0.6954540606488178,0.6614972239934523,Positive (Low/Mid arousal)
3M Company_20170425_emotion_results_normalized.csv,015.wav,-0.1298593377246647,0.4476260556920658,Neutral
3M Company_20170425_emotion_results_normalized.csv,016.wav,0.0570474560236653,0.4669001886108382,Neutral
3M Company_20170425_emotion_results_normalized.csv,017.wav,0.2418467196502471,0.560818690505245,Neutral
3M Company_20170425_emotion_results_normalized.csv,018.wav,0.0245776869647302,0.535345455915668,Neutral
3M Company_20170425_emotion_results_normalized.csv,019.wav,0.1914200417013244,0.4753020658114435,Neutral
3M Company_20170425_emotion_results_normalized.csv,020.wav,-0.266582489322433,0.3981857886484273,Neutral
3M Company_20170425_emotion_results_normalized.csv,021.wav,0.103601137994415,0.547093332880551,Neutral
3M Company_20170425_emotion_results_normalized.csv,022.wav,0.60023140882895,0.680707174516027,Positive (Low/Mid arousal)
3M Company_20170425_emotion_results_normalized.csv,023.wav,-0.4187933828010247,0.3597825737515644,Negative (Low/Med arousal)
3M Company_20170425_emotion_results_normalized.csv,024.wav,-0.7574536758900778,0.2095561736951298,Negative (Low/Med arousal)
3M Company_20170425_emotion_results_normalized.csv,025.wav,0.1285944622058155,0.4788021160738444,Neutral
3M Company_20170425_emotion_results_normalized.csv,026.wav,0.5199762555064795,0.6010207971104333,Positive (Low/Mid arousal)
