Index,Audio Path,Transcript Path
001,General Dynamics_20170426/CEO/001-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/001.txt
002,General Dynamics_20170426/CEO/002-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/002.txt
003,General Dynamics_20170426/CEO/003-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/003.txt
004,General Dynamics_20170426/CEO/004-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/004.txt
005,General Dynamics_20170426/CEO/005-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/005.txt
006,General Dynamics_20170426/CEO/006-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/006.txt
007,General Dynamics_20170426/CEO/007-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/007.txt
008,General Dynamics_20170426/CEO/008-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/008.txt
009,General Dynamics_20170426/CEO/009-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/009.txt
010,General Dynamics_20170426/CEO/010-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/010.txt
011,General Dynamics_20170426/CEO/011-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/011.txt
012,General Dynamics_20170426/CEO/012-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/012.txt
013,General Dynamics_20170426/CEO/013-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/013.txt
014,General Dynamics_20170426/CEO/014-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/014.txt
015,General Dynamics_20170426/CEO/015-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/015.txt
016,General Dynamics_20170426/CEO/016-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/016.txt
017,General Dynamics_20170426/CEO/017-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/017.txt
018,General Dynamics_20170426/CEO/018-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/018.txt
019,General Dynamics_20170426/CEO/019-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/019.txt
020,General Dynamics_20170426/CEO/020-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/020.txt
021,General Dynamics_20170426/CEO/021-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/021.txt
022,General Dynamics_20170426/CEO/022-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/022.txt
023,General Dynamics_20170426/CEO/023-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/023.txt
024,General Dynamics_20170426/CEO/024-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/024.txt
025,General Dynamics_20170426/CEO/025-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/025.txt
026,General Dynamics_20170426/CEO/026-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/026.txt
027,General Dynamics_20170426/CEO/027-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/027.txt
028,General Dynamics_20170426/CEO/028-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/028.txt
029,General Dynamics_20170426/CEO/029-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/029.txt
030,General Dynamics_20170426/CEO/030-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/030.txt
031,General Dynamics_20170426/CEO/031-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/031.txt
032,General Dynamics_20170426/CEO/032-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/032.txt
033,General Dynamics_20170426/CEO/033-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/033.txt
034,General Dynamics_20170426/CEO/034-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/034.txt
035,General Dynamics_20170426/CEO/035-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/035.txt
036,General Dynamics_20170426/CEO/036-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/036.txt
037,General Dynamics_20170426/CEO/037-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/037.txt
038,General Dynamics_20170426/CEO/038-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/038.txt
039,General Dynamics_20170426/CEO/039-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/039.txt
040,General Dynamics_20170426/CEO/040-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/040.txt
041,General Dynamics_20170426/CEO/041-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/041.txt
042,General Dynamics_20170426/CEO/042-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/042.txt
043,General Dynamics_20170426/CEO/043-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/043.txt
044,General Dynamics_20170426/CEO/044-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/044.txt
045,General Dynamics_20170426/CEO/045-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/045.txt
046,General Dynamics_20170426/CEO/046-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/046.txt
047,General Dynamics_20170426/CEO/047-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/047.txt
048,General Dynamics_20170426/CEO/048-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/048.txt
049,General Dynamics_20170426/CEO/049-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/049.txt
050,General Dynamics_20170426/CEO/050-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/050.txt
051,General Dynamics_20170426/CEO/051-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/051.txt
052,General Dynamics_20170426/CEO/052-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/052.txt
053,General Dynamics_20170426/CEO/053-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/053.txt
054,General Dynamics_20170426/CEO/054-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/054.txt
055,General Dynamics_20170426/CEO/055-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/055.txt
056,General Dynamics_20170426/CEO/056-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/056.txt
057,General Dynamics_20170426/CEO/057-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/057.txt
058,General Dynamics_20170426/CEO/058-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/058.txt
059,General Dynamics_20170426/CEO/059-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/059.txt
060,General Dynamics_20170426/CEO/060-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/060.txt
061,General Dynamics_20170426/CEO/061-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/061.txt
062,General Dynamics_20170426/CEO/062-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/062.txt
063,General Dynamics_20170426/CEO/063-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/063.txt
064,General Dynamics_20170426/CEO/064-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/064.txt
065,General Dynamics_20170426/CEO/065-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/065.txt
066,General Dynamics_20170426/CEO/066-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/066.txt
067,General Dynamics_20170426/CEO/067-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/067.txt
068,General Dynamics_20170426/CEO/068-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/068.txt
069,General Dynamics_20170426/CEO/069-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/069.txt
070,General Dynamics_20170426/CEO/070-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/070.txt
071,General Dynamics_20170426/CEO/071-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/071.txt
072,General Dynamics_20170426/CEO/072-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/072.txt
073,General Dynamics_20170426/CEO/073-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/073.txt
074,General Dynamics_20170426/CEO/074-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/074.txt
075,General Dynamics_20170426/CEO/075-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/075.txt
076,General Dynamics_20170426/CEO/076-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/076.txt
077,General Dynamics_20170426/CEO/077-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/077.txt
078,General Dynamics_20170426/CEO/078-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/078.txt
079,General Dynamics_20170426/CEO/079-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/079.txt
080,General Dynamics_20170426/CEO/080-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/080.txt
081,General Dynamics_20170426/CEO/081-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/081.txt
082,General Dynamics_20170426/CEO/082-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/082.txt
083,General Dynamics_20170426/CEO/083-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/083.txt
084,General Dynamics_20170426/CEO/084-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/084.txt
085,General Dynamics_20170426/CEO/085-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/085.txt
086,General Dynamics_20170426/CEO/086-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/086.txt
087,General Dynamics_20170426/CEO/087-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/087.txt
088,General Dynamics_20170426/CEO/088-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/088.txt
089,General Dynamics_20170426/CEO/089-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/089.txt
090,General Dynamics_20170426/CEO/090-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/090.txt
091,General Dynamics_20170426/CEO/091-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/091.txt
092,General Dynamics_20170426/CEO/092-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/092.txt
093,General Dynamics_20170426/CEO/093-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/093.txt
094,General Dynamics_20170426/CEO/094-PhebeN.Novakovic.mp3,General Dynamics_20170426/sent_token/094.txt
