Index,Audio Path,Transcript Path
001,U.S. Bancorp_20170719/CEO/001-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/001.txt
002,U.S. Bancorp_20170719/CEO/002-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/002.txt
003,U.S. Bancorp_20170719/CEO/003-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/003.txt
004,U.S. Bancorp_20170719/CEO/004-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/004.txt
005,U.S. Bancorp_20170719/CEO/005-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/005.txt
006,U.S. Bancorp_20170719/CEO/006-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/006.txt
007,U.S. Bancorp_20170719/CEO/007-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/007.txt
008,U.S. Bancorp_20170719/CEO/008-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/008.txt
009,U.S. Bancorp_20170719/CEO/009-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/009.txt
010,U.S. Bancorp_20170719/CEO/010-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/010.txt
011,U.S. Bancorp_20170719/CEO/011-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/011.txt
012,U.S. Bancorp_20170719/CEO/012-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/012.txt
013,U.S. Bancorp_20170719/CEO/013-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/013.txt
014,U.S. Bancorp_20170719/CEO/014-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/014.txt
015,U.S. Bancorp_20170719/CEO/015-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/015.txt
016,U.S. Bancorp_20170719/CEO/016-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/016.txt
017,U.S. Bancorp_20170719/CEO/017-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/017.txt
018,U.S. Bancorp_20170719/CEO/018-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/018.txt
019,U.S. Bancorp_20170719/CEO/019-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/019.txt
020,U.S. Bancorp_20170719/CEO/020-TerryDolan.mp3,U.S. Bancorp_20170719/sent_token/020.txt
